year,sex,age,model,n,n_low,n_high,negll,converged,alpha,beta,nu,tau,mu1,mu2,sig1,sig2,w,lowc,highc,p_low_model,p_high_model,eta_year,lam,gmm_q,gmm_chi2,has_guv,wedge
1951,1,15,dpln,2213,1453,6,1861.3208159490616,True,44.20386183611665,0.6213010018581663,6.010649072050514,0.7165118112772665,,,,,,200.0,2600.0,0.6555348582226959,0.0006686680491226893,17.732628775902448,0.0,nan,nan,0,nan
1951,1,16,dpln,4732,2144,10,5124.689220841369,False,32.98686884771676,0.6754217002527867,6.544663192409526,0.6207445737682333,,,,,,200.0,2600.0,0.4575051684093112,0.0025646086959423275,17.732628775902448,0.0,nan,nan,0,nan
1951,1,17,dpln,6820,1948,65,8595.781007314728,True,22.958452857102657,0.7908141737016874,6.948734665136724,0.5817031641845221,,,,,,200.0,2600.0,0.2910695428038716,0.011620849299686098,17.732628775902448,0.0,nan,nan,0,nan
1951,1,18,dpln,7635,1431,274,10131.81060558977,True,14.054916942613206,0.7743728477868139,7.425906852150074,0.44958131746735985,,,,,,200.0,2600.0,0.19386800136919657,0.03590874776529729,17.732628775902448,0.0,nan,nan,0,nan
1951,1,19,dpln,7981,1222,993,11245.118598754272,True,10.35945484691359,0.7052801883440303,7.834896955062315,0.37707413392385397,,,,,,200.0,2600.0,0.16210679620430565,0.11359228979886349,17.732628775902448,0.0,nan,nan,0,nan
1951,1,20,dpln,7396,1160,1314,10664.82593836426,True,7.445064988560304,0.6514525145106492,8.017327766048453,0.3109899890079636,,,,,,200.0,2600.0,0.15966675959984894,0.17671668651143013,17.732628775902448,0.0,nan,nan,0,nan
1951,1,21,dpln,7748,1139,1673,11200.178674483275,False,6.710194001771214,0.6537508282502271,8.091545273565105,0.333853287342868,,,,,,200.0,2600.0,0.15028452667133724,0.21570118005630823,17.732628775902448,0.0,nan,nan,0,nan
1951,1,22,dpln,7576,1075,2048,11036.115850212158,True,5.780538776240439,0.6393929361071686,8.206636409442966,0.4449725654880169,,,,,,200.0,2600.0,0.14602234632567346,0.2709264817784096,17.732628775902448,0.0,nan,nan,0,nan
1951,1,23,dpln,8072,955,3103,10948.32848370988,False,4.290567680881197,0.6886670778792049,8.364963199166537,0.21502751232924172,,,,,,200.0,2600.0,0.10542125571347581,0.3834299695898744,17.732628775902448,0.0,nan,nan,0,nan
1951,1,24,dpln,9369,672,4532,11410.495898940846,True,3.511961148310936,0.7862693399343382,8.435647744311645,0.21909445122985885,,,,,,200.0,2600.0,0.07037075647261407,0.47129536972733665,17.732628775902448,0.0,nan,nan,0,nan
1951,1,25,dpln,9757,616,5082,11402.099848303284,True,3.2356156214448735,0.8584669742709288,8.46791454815249,0.23173416747397924,,,,,,200.0,2600.0,0.053049482864957455,0.5203596506727299,17.732628775902448,0.0,nan,nan,0,nan
1951,1,26,dpln,9600,579,5459,10738.147559906323,False,3.029399054772924,0.8448135967420313,8.580078100470047,0.2234198419038094,,,,,,200.0,2600.0,0.04975514765941959,0.5655825484208965,17.732628775902448,0.0,nan,nan,0,nan
