fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
0,3e-05,1951,324922.7759579792,281644,107,0
0,3e-05,1952,330776.906379881,290220,109,0
0,3e-05,1953,330355.8065631868,295456,109,0
0,3e-05,1954,326928.45586954325,289625,109,0
0,3e-05,1955,380830.82460315234,317531,112,0
0,3e-05,1956,384630.69241360365,330175,113,0
0,3e-05,1957,394906.36306619126,344934,112,0
0,3e-05,1958,396224.6573453566,341843,112,0
0,3e-05,1959,415803.0590581161,349276,111,0
0,3e-05,1960,420838.69602718874,354096,111,0
0,3e-05,1961,423496.84811184154,355897,112,0
0,3e-05,1962,423383.9693139473,362813,111,0
0,3e-05,1963,428127.7463552476,369567,112,0
0,3e-05,1964,429623.8522426182,378256,111,0
0,3e-05,1965,437744.41837861866,393405,112,0
0,3e-05,1966,496475.4350122804,413235,112,0
0,3e-05,1967,503629.63975465903,423274,113,0
0,3e-05,1968,529988.2200805045,436569,113,0
0,3e-05,1969,543729.9957574374,450861,113,0
0,3e-05,1970,552115.5542197018,454635,114,0
0,3e-05,1971,552931.7526954486,455814,114,0
0,3e-05,1972,582232.145481336,470101,114,0
0,3e-05,1973,614386.3889981864,487883,114,0
0,3e-05,1974,637579.8984403892,495795,114,0
0,3e-05,1975,647172.1565200855,491604,114,0
0,3e-05,1976,661264.5302653825,503839,114,0
0,3e-05,1977,683210.5376080159,519291,113,0
0,3e-05,1978,700772.6176587422,536310,113,0
0,3e-05,1979,721672.2518654859,549899,114,0
0,3e-05,1980,738872.9986527272,553028,114,0
0,3e-05,1981,744583.6799774352,553485,114,0
0,3e-05,1982,751889.1649346936,547170,115,0
0,3e-05,1983,762821.9342976223,551777,113,0
0,3e-05,1984,792669.1172185749,573431,114,0
0,3e-05,1985,819376.5783226987,590534,113,0
0,3e-05,1986,839243.4631533544,602349,113,0
0,3e-05,1987,862154.0612547916,618138,114,0
0,3e-05,1988,890728.2243397116,637954,115,0
0,3e-05,1989,910111.4997489769,650362,116,0
0,3e-05,1990,919908.3386882,655067,116,0
0,3e-05,1991,923721.2334080894,652189,116,0
0,3e-05,1992,935504.4129714671,656852,118,0
0,3e-05,1993,952819.4036193981,667023,118,0
0,3e-05,1994,971285.6070465612,681396,119,0
0,3e-05,1995,984505.9538368462,691996,118,0
0,3e-05,1996,1003743.0897871288,704060,119,0
0,3e-05,1997,1018195.014491023,717318,120,0
0,3e-05,1998,1034040.4684993376,730678,119,0
0,3e-05,1999,1053191.2024792356,743629,121,0
0,3e-05,2000,1077201.986876531,756319,121,0
0,3e-05,2001,1086708.5676878735,757642,122,0
0,3e-05,2002,1094464.7542628436,754481,121,0
0,3e-05,2003,1102415.0197100085,755926,123,0
0,3e-05,2004,1113112.8972815122,763103,123,0
0,3e-05,2005,1124553.0545999627,770460,123,0
0,3e-05,2006,1134134.2102160102,776369,123,0
0,0.0001,1951,324965.5771513404,281644,107,0
0,0.0001,1952,330541.51961868064,290220,109,0
0,0.0001,1953,329962.61236114195,295456,109,0
0,0.0001,1954,326835.4991544325,289625,109,0
0,0.0001,1955,380891.1360463861,317531,112,0
0,0.0001,1956,384825.50185999426,330175,113,0
0,0.0001,1957,394902.8815299235,344934,112,0
0,0.0001,1958,396448.38076142396,341843,112,0
0,0.0001,1959,415791.2445264844,349276,111,0
0,0.0001,1960,420876.6653204156,354096,111,0
0,0.0001,1961,423509.47964442975,355897,112,0
0,0.0001,1962,423344.51110254053,362813,111,0
0,0.0001,1963,428104.6091077856,369567,112,0
0,0.0001,1964,429654.2858793485,378256,111,0
0,0.0001,1965,437787.5010545284,393405,112,0
0,0.0001,1966,496495.79560995183,413235,112,0
0,0.0001,1967,503715.30361006514,423274,113,0
0,0.0001,1968,529951.9387711729,436569,113,0
0,0.0001,1969,543746.5745241531,450861,113,0
0,0.0001,1970,552221.3091966367,454635,114,0
0,0.0001,1971,552877.3646344964,455814,114,0
0,0.0001,1972,582418.3858539602,470101,114,0
0,0.0001,1973,614487.6429614428,487883,114,0
0,0.0001,1974,637570.0603397439,495795,114,0
0,0.0001,1975,647129.1942997505,491604,114,0
0,0.0001,1976,661286.310801976,503839,114,0
0,0.0001,1977,683109.4511917678,519291,113,0
0,0.0001,1978,700829.6316327963,536310,113,0
0,0.0001,1979,721671.226634189,549899,114,0
0,0.0001,1980,738894.6887560514,553028,114,0
0,0.0001,1981,744484.8790613286,553485,114,0
0,0.0001,1982,751905.9987135541,547170,115,0
0,0.0001,1983,762813.5280690854,551777,113,0
0,0.0001,1984,792686.3138700366,573431,114,0
0,0.0001,1985,819380.9324429521,590534,113,0
0,0.0001,1986,839243.2736965314,602349,113,0
0,0.0001,1987,862156.727581732,618138,114,0
0,0.0001,1988,890694.6138208751,637954,115,0
0,0.0001,1989,910103.4506136494,650362,116,0
0,0.0001,1990,919917.6478679371,655067,116,0
0,0.0001,1991,923729.6840212302,652189,116,0
0,0.0001,1992,935491.246955587,656852,118,0
0,0.0001,1993,952840.6570818936,667023,118,0
0,0.0001,1994,971278.9541323291,681396,119,0
0,0.0001,1995,984529.8056397642,691996,118,0
0,0.0001,1996,1003728.9928477256,704060,119,0
0,0.0001,1997,1018193.920266099,717318,120,0
0,0.0001,1998,1034112.3873332253,730678,119,0
0,0.0001,1999,1053183.8579245412,743629,121,0
0,0.0001,2000,1077236.64702818,756319,121,0
0,0.0001,2001,1086722.7315016803,757642,122,0
