sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share
male,1974,31,10.366135,0.078621,-0.057785,0.030483,9.967552,0.497646,-0.204106,0.030483,0.034043,0.063022,-0.109653,0.000021
male,1975,31,10.353271,0.086794,-0.052082,0.029678,9.959510,0.481381,-0.194535,0.029678,0.038497,0.075284,-0.112691,0.000021
male,1976,31,10.342666,0.107015,-0.045185,0.014911,9.994693,0.366125,-0.116759,0.014911,0.034447,0.068250,-0.118061,0.000028
male,1977,31,10.335598,0.130858,-0.038739,0.001788,10.019728,0.268557,-0.047323,0.001788,0.031966,0.070090,-0.121311,0.000028
male,1978,31,10.342093,0.152122,-0.044905,-0.014130,10.041619,0.187296,0.022921,-0.014130,0.029927,0.057646,-0.135557,0.000021
male,1979,31,10.350937,0.167572,-0.056128,-0.020048,10.021250,0.193214,0.040102,-0.020048,0.030438,0.048205,-0.136657,0.000021
male,1980,31,10.352765,0.166951,-0.064424,-0.015571,9.984497,0.253521,0.010318,-0.015571,0.029407,0.048589,-0.150739,0.000021
male,1981,31,10.358092,0.164809,-0.075695,-0.011213,9.946547,0.320917,-0.021873,-0.011213,0.030130,0.049746,-0.156757,0.000021
male,1982,31,10.360099,0.155352,-0.083865,-0.001626,9.903499,0.411236,-0.076062,-0.001626,0.030904,0.054675,-0.159198,0.000021
male,1983,31,10.358295,0.157405,-0.084206,-0.000728,9.893861,0.421274,-0.080711,-0.000728,0.031048,0.061159,-0.159903,0.000021
