sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,1892,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1893,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1894,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1895,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1896,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1897,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1898,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1899,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1900,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1901,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1902,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1903,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1904,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1905,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1906,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1907,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1908,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1909,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1910,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1911,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1912,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1913,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1914,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1915,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
