sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,se_g0_raw,se_g1_raw,se_g2_raw,se_g3_raw,wsd_g0,wsd_g1,wsd_g2,wsd_g3,J,df,p_value
female,1979,31,9.681060,0.150342,-0.012196,0.000000,9.409291,0.189370,-0.012196,0.000000,0.032192,0.066248,-0.049994,0.002587,0.005578,0.002787,0.002156,0.000000,0.005718,0.007071,0.002156,0.000000,nan,nan,nan,nan,741.843134,28,3.409e-138
female,1980,31,9.691588,0.150075,-0.016658,0.000000,9.408823,0.203381,-0.016658,0.000000,0.034569,0.075418,-0.052478,0.003339,0.005452,0.002772,0.002085,0.000000,0.005676,0.006933,0.002085,0.000000,nan,nan,nan,nan,1031.994527,28,2.435e-199
female,1981,31,9.720399,0.150118,-0.026278,0.000000,9.412938,0.234209,-0.026278,0.000000,0.039440,0.078052,-0.060604,0.003067,0.005545,0.002710,0.002186,0.000000,0.005663,0.007253,0.002186,0.000000,nan,nan,nan,nan,1216.167355,28,2.086e-238
female,1982,31,9.710821,0.145878,-0.017572,0.000000,9.432431,0.202109,-0.017572,0.000000,0.039554,0.071282,-0.058587,0.002902,0.005087,0.002653,0.002150,0.000000,0.005366,0.006690,0.002150,0.000000,nan,nan,nan,nan,1214.436815,28,4.864e-238
female,1983,31,9.732002,0.141224,-0.023078,0.000000,9.446965,0.215072,-0.023078,0.000000,0.034535,0.065156,-0.065901,0.002744,0.005283,0.002674,0.002148,0.000000,0.005287,0.006913,0.002148,0.000000,nan,nan,nan,nan,1186.976744,28,3.319e-232
male,1957,31,10.252118,0.228507,-0.143002,0.000000,9.520420,0.686115,-0.143002,0.000000,0.035787,0.094840,0.083260,0.000365,0.007071,0.003514,0.002613,0.000000,0.006542,0.008318,0.002613,0.000000,nan,nan,nan,nan,879.878003,28,3.309e-167
male,1958,31,10.271192,0.211448,-0.155528,0.000000,9.534722,0.709139,-0.155528,0.000000,0.040990,0.094420,0.078267,0.000365,0.007124,0.003612,0.002721,0.000000,0.006495,0.008460,0.002721,0.000000,nan,nan,nan,nan,1036.144263,28,3.221e-200
male,1959,31,10.264751,0.187863,-0.147478,0.000000,9.586628,0.659792,-0.147478,0.000000,0.039251,0.084058,0.068316,0.000322,0.007278,0.003509,0.002722,0.000000,0.006514,0.008708,0.002722,0.000000,nan,nan,nan,nan,988.689949,28,3.535e-190
male,1960,31,10.299843,0.178936,-0.144150,0.000000,9.644520,0.640217,-0.144150,0.000000,0.039622,0.093225,0.070676,0.000251,0.007082,0.003553,0.002678,0.000000,0.006623,0.008499,0.002678,0.000000,nan,nan,nan,nan,929.706546,28,1.023e-177
male,1961,31,10.312343,0.166989,-0.150973,0.000000,9.658668,0.650104,-0.150973,0.000000,0.046309,0.084177,0.068314,0.000380,0.006715,0.003383,0.002634,0.000000,0.006513,0.008311,0.002634,0.000000,nan,nan,nan,nan,1344.467016,28,1.058e-265
