sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,se_g0_raw,se_g1_raw,se_g2_raw,se_g3_raw,wsd_g0,wsd_g1,wsd_g2,wsd_g3,J,df,p_value
female,1979,31,9.610713,0.199043,-0.011450,0.000000,9.262933,0.235683,-0.011450,0.000000,0.187884,0.513776,-0.050266,0.002551,0.004592,0.002453,0.001886,0.000000,0.004971,0.006097,0.001886,0.000000,nan,nan,nan,nan,25748.781258,214,0.000e+00
female,1980,31,9.599387,0.153079,-0.000529,0.000000,9.353106,0.154773,-0.000529,0.000000,0.184372,0.433624,-0.053047,0.003862,0.004767,0.002422,0.001907,0.000000,0.004909,0.006214,0.001907,0.000000,nan,nan,nan,nan,26845.626449,214,0.000e+00
female,1981,31,9.630887,0.194080,-0.011900,0.000000,9.289896,0.232159,-0.011900,0.000000,0.180915,0.438048,-0.060913,0.003067,0.004849,0.002414,0.001992,0.000000,0.004941,0.006497,0.001992,0.000000,nan,nan,nan,nan,28992.834053,214,0.000e+00
female,1982,31,9.621862,0.179798,-0.002115,0.000000,9.328771,0.186566,-0.002115,0.000000,0.179803,0.435203,-0.058941,0.002959,0.004409,0.002420,0.001996,0.000000,0.004828,0.006144,0.001996,0.000000,nan,nan,nan,nan,27270.366247,214,0.000e+00
female,1983,31,9.660963,0.172000,-0.013635,0.000000,9.350858,0.215631,-0.013635,0.000000,0.167119,0.421358,-0.066167,0.002809,0.004627,0.002419,0.001915,0.000000,0.004547,0.006166,0.001915,0.000000,nan,nan,nan,nan,26273.394336,214,0.000e+00
male,1957,31,10.374809,0.262808,-0.172882,0.000000,9.511739,0.816029,-0.172882,0.000000,0.340603,0.729477,0.083414,0.000222,0.006107,0.003190,0.002364,0.000000,0.005723,0.007479,0.002364,0.000000,nan,nan,nan,nan,17629.788286,214,0.000e+00
male,1958,31,10.363001,0.249827,-0.169213,0.000000,9.530092,0.791309,-0.169213,0.000000,0.323978,0.669101,0.078416,0.000215,0.006308,0.003265,0.002423,0.000000,0.005732,0.007541,0.002423,0.000000,nan,nan,nan,nan,17776.554057,214,0.000e+00
male,1959,31,10.299415,0.214247,-0.147322,0.000000,9.579476,0.685677,-0.147322,0.000000,0.277764,0.601213,0.068397,0.000251,0.006337,0.003174,0.002413,0.000000,0.005571,0.007729,0.002413,0.000000,nan,nan,nan,nan,15002.331345,214,0.000e+00
male,1960,31,10.401185,0.202044,-0.166798,0.000000,9.650912,0.735797,-0.166798,0.000000,0.311154,0.697894,0.070772,0.000172,0.006167,0.003194,0.002435,0.000000,0.005741,0.007632,0.002435,0.000000,nan,nan,nan,nan,16460.597783,214,0.000e+00
male,1961,31,10.323920,0.171362,-0.151053,0.000000,9.663047,0.654730,-0.151053,0.000000,0.272023,0.600236,0.068330,0.000365,0.005901,0.003100,0.002402,0.000000,0.005714,0.007552,0.002402,0.000000,nan,nan,nan,nan,15783.498188,214,0.000e+00
male,1962,31,10.365544,0.139594,-0.165247,0.000000,9.719160,0.668385,-0.165247,0.000000,0.273124,0.638155,0.063693,0.000552,0.006163,0.003067,0.002367,0.000000,0.005551,0.007476,0.002367,0.000000,nan,nan,nan,nan,16105.074811,214,0.000e+00
male,1963,31,10.361712,0.130861,-0.150208,0.000000,9.767802,0.611526,-0.150208,0.000000,0.258975,0.655098,0.049494,0.000487,0.006149,0.003063,0.002301,0.000000,0.005509,0.007281,0.002301,0.000000,nan,nan,nan,nan,17153.072483,214,0.000e+00
male,1964,31,10.387598,0.135854,-0.134899,0.000000,9.824890,0.567530,-0.134899,0.000000,0.271413,0.638158,0.046695,0.000365,0.005895,0.003062,0.002307,0.000000,0.005343,0.007173,0.002307,0.000000,nan,nan,nan,nan,16541.742846,214,0.000e+00
male,1965,31,10.384950,0.128672,-0.115590,0.000000,9.883165,0.498559,-0.115590,0.000000,0.246102,0.682139,0.027009,0.000287,0.005769,0.002976,0.002251,0.000000,0.005380,0.006968,0.002251,0.000000,nan,nan,nan,nan,17914.342023,214,0.000e+00
male,1966,31,10.364736,0.137343,-0.102626,0.000000,9.882264,0.465747,-0.102626,0.000000,0.245047,0.627291,0.025644,0.000251,0.005691,0.002945,0.002126,0.000000,0.005410,0.006759,0.002126,0.000000,nan,nan,nan,nan,17550.020440,214,0.000e+00
male,1967,31,10.326866,0.112084,-0.094289,0.000000,9.906152,0.413809,-0.094289,0.000000,0.215977,0.630154,0.014862,0.000430,0.005392,0.002642,0.002002,0.000000,0.004857,0.006360,0.002002,0.000000,nan,nan,nan,nan,21849.386416,214,0.000e+00
male,1968,31,10.356057,0.106199,-0.080562,0.000000,9.979899,0.363998,-0.080562,0.000000,0.227055,0.649133,0.011730,0.000459,0.005500,0.002747,0.002034,0.000000,0.004917,0.006424,0.002034,0.000000,nan,nan,nan,nan,23128.411563,214,0.000e+00
male,1969,31,10.352037,0.149375,-0.064612,0.000000,9.947629,0.356135,-0.064612,0.000000,0.226260,0.583541,-0.003780,0.000294,0.005468,0.002731,0.002045,0.000000,0.004927,0.006402,0.002045,0.000000,nan,nan,nan,nan,20807.030391,214,0.000e+00
male,1970,31,10.267373,0.166162,-0.056838,0.000000,9.856008,0.348044,-0.056838,0.000000,0.201432,0.535577,-0.020720,0.000322,0.005574,0.002920,0.002043,0.000000,0.005042,0.006686,0.002043,0.000000,nan,nan,nan,nan,23878.975624,214,0.000e+00
male,1971,31,10.327466,0.172991,-0.080221,0.000000,9.845315,0.429699,-0.080221,0.000000,0.211177,0.558373,-0.012779,0.000287,0.005119,0.002574,0.001836,0.000000,0.004604,0.005857,0.001836,0.000000,nan,nan,nan,nan,29190.843047,214,0.000e+00
male,1972,31,10.319881,0.195266,-0.078270,0.000000,9.807085,0.445729,-0.078270,0.000000,0.202030,0.495593,-0.027314,0.000251,0.004731,0.002290,0.001795,0.000000,0.004347,0.005679,0.001795,0.000000,nan,nan,nan,nan,30690.897708,214,0.000e+00
male,1973,31,10.258885,0.173159,-0.063592,0.000000,9.819035,0.376654,-0.063592,0.000000,0.191115,0.519776,-0.030997,0.000287,0.004902,0.002451,0.001801,0.000000,0.004494,0.005836,0.001801,0.000000,nan,nan,nan,nan,29601.793990,214,0.000e+00
male,1974,31,10.306915,0.209779,-0.084513,0.000000,9.754915,0.480220,-0.084513,0.000000,0.202214,0.456471,-0.038567,0.000215,0.004825,0.002407,0.001790,0.000000,0.004642,0.005871,0.001790,0.000000,nan,nan,nan,nan,31258.340381,214,0.000e+00
male,1975,31,10.237366,0.210290,-0.047885,0.000000,9.778318,0.363521,-0.047885,0.000000,0.197498,0.460130,-0.041819,0.000186,0.004829,0.002390,0.001804,0.000000,0.004346,0.005732,0.001804,0.000000,nan,nan,nan,nan,32398.370347,214,0.000e+00
male,1976,31,10.256583,0.190820,-0.061133,0.000000,9.794771,0.386445,-0.061133,0.000000,0.191027,0.432320,-0.041302,0.000193,0.004862,0.002371,0.001809,0.000000,0.004261,0.005774,0.001809,0.000000,nan,nan,nan,nan,29072.543859,214,0.000e+00
male,1977,31,10.232679,0.202369,-0.038645,0.000000,9.809958,0.326032,-0.038645,0.000000,0.187319,0.431563,-0.043746,0.000136,0.004591,0.002427,0.001707,0.000000,0.004370,0.005599,0.001707,0.000000,nan,nan,nan,nan,31029.995486,214,0.000e+00
male,1978,31,10.203191,0.186221,-0.041000,0.000000,9.800278,0.317420,-0.041000,0.000000,0.168152,0.396748,-0.056977,0.000265,0.004793,0.002379,0.001806,0.000000,0.004360,0.005726,0.001806,0.000000,nan,nan,nan,nan,28267.042910,214,0.000e+00
male,1979,31,10.186680,0.162607,-0.049068,0.000000,9.800896,0.319623,-0.049068,0.000000,0.161426,0.392818,-0.058586,0.000516,0.004517,0.002344,0.001799,0.000000,0.004293,0.005608,0.001799,0.000000,nan,nan,nan,nan,28954.485934,214,0.000e+00
male,1980,31,10.185757,0.169136,-0.052484,0.000000,9.780781,0.337084,-0.052484,0.000000,0.158704,0.367144,-0.069062,0.000767,0.004622,0.002292,0.001819,0.000000,0.004263,0.005736,0.001819,0.000000,nan,nan,nan,nan,33184.769699,214,0.000e+00
male,1981,31,10.187510,0.192076,-0.059371,0.000000,9.728198,0.382064,-0.059371,0.000000,0.155885,0.339465,-0.075406,0.000595,0.004499,0.002230,0.001782,0.000000,0.004204,0.005625,0.001782,0.000000,nan,nan,nan,nan,29980.463345,214,0.000e+00
male,1982,31,10.214934,0.214253,-0.071146,0.000000,9.689997,0.441919,-0.071146,0.000000,0.153175,0.316513,-0.077455,0.000502,0.004396,0.002333,0.001925,0.000000,0.004443,0.005840,0.001925,0.000000,nan,nan,nan,nan,28664.961504,214,0.000e+00
male,1983,31,10.229573,0.213871,-0.072451,0.000000,9.701904,0.445715,-0.072451,0.000000,0.148885,0.350156,-0.077454,0.000444,0.004247,0.002311,0.001786,0.000000,0.004262,0.005558,0.001786,0.000000,nan,nan,nan,nan,32166.129993,214,0.000e+00
