sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,h_young,h_old,se_h_young,se_h_old,h_old_filled,n_epuf,n_young,n_old,rmse_gksw,rmse_epuf,J,df,p_value,relevel_shift
female,1970,31,9.259890,0.115842,0.018216,0.000000,9.121176,0.057551,0.018216,0.000000,0.042306,0.146062,-0.017284,0.002506,0.002716,0.001560,0.001281,0.000000,-0.724285,-0.304683,0.017386,0.023202,0,42,5,6,0.032818,0.048124,2559.699000,67,0.000000,-0.381803
female,1971,31,9.305706,0.119434,0.014136,0.000000,9.150800,0.074200,0.014136,0.000000,0.047554,0.159974,-0.015927,0.002022,0.002726,0.001382,0.001193,0.000000,-0.781957,-0.303902,0.015991,0.022596,0,41,5,5,0.027980,0.058132,2991.841900,66,0.000000,-0.388757
female,1972,31,9.337295,0.122883,0.015486,0.000000,9.180327,0.073329,0.015486,0.000000,0.041585,0.156484,-0.017065,0.001850,0.002560,0.001348,0.001152,0.000000,-0.738281,-0.300535,0.014762,0.026795,0,40,5,4,0.024236,0.051130,3031.685800,65,0.000000,-0.359017
female,1973,31,9.369731,0.123980,0.004435,0.000000,9.182717,0.109787,0.004435,0.000000,0.042679,0.127829,-0.018387,0.001670,0.002416,0.001344,0.001113,0.000000,-0.663923,-0.375009,0.015353,,1,39,5,3,0.015046,0.055583,1834.034000,65,0.000000,-0.363059
female,1974,31,9.393238,0.138344,-0.011254,0.000000,9.143078,0.174357,-0.011254,0.000000,0.040360,0.119869,-0.021035,0.001470,0.002520,0.001324,0.001131,0.000000,-0.552566,-0.375009,0.015166,,1,38,5,2,0.018585,0.051730,1722.426800,64,0.000000,-0.363753
female,1975,31,9.419894,0.129488,-0.003221,0.000000,9.204468,0.139795,-0.003221,0.000000,0.029469,0.126855,-0.030904,0.001246,0.002555,0.001372,0.001152,0.000000,-0.699487,-0.375009,0.014983,,1,37,5,1,0.021376,0.034831,1987.457000,63,0.000000,-0.358707
female,1976,31,9.449570,0.127325,-0.010832,0.000000,9.218120,0.161986,-0.010832,0.000000,0.039474,0.109872,-0.037522,0.001097,0.002469,0.001272,0.001086,0.000000,-0.828978,-0.375009,0.014116,,1,36,5,0,0.030570,0.045774,3084.125100,62,0.000000,-0.358173
female,1977,31,9.451894,0.125029,-0.006505,0.000000,9.235195,0.145844,-0.006505,0.000000,0.036908,0.107544,-0.040058,0.001047,0.002499,0.001322,0.001123,0.000000,-0.845754,-0.375009,0.013342,,1,35,5,0,0.033916,0.039368,3228.079600,61,0.000000,-0.342402
female,1978,31,9.459958,0.118426,-0.006948,0.000000,9.252690,0.140659,-0.006948,0.000000,0.034079,0.109347,-0.041806,0.001384,0.002398,0.001255,0.001063,0.000000,-0.828574,-0.375009,0.013835,,1,34,5,0,0.031298,0.036430,2553.241200,60,0.000000,-0.356891
female,1979,31,9.462176,0.118607,-0.003175,0.000000,9.264276,0.128766,-0.003175,0.000000,0.032504,0.076697,-0.052074,0.001857,0.002432,0.001328,0.001083,0.000000,-0.928875,-0.375009,0.013973,,1,33,5,0,0.025563,0.037884,2237.477200,59,0.000000,-0.368677
