sex,cohort,source,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw
male,1951,extrap_back,10.165780,0.220058,-0.161454,0.000000,9.400367,0.736709,-0.161454,0.000000
male,1952,extrap_back,10.191919,0.220058,-0.161454,0.000000,9.426506,0.736709,-0.161454,0.000000
male,1953,extrap_back,10.236517,0.220058,-0.161454,0.000000,9.471104,0.736709,-0.161454,0.000000
male,1954,extrap_back,10.242080,0.220058,-0.161454,0.000000,9.476667,0.736709,-0.161454,0.000000
male,1955,extrap_back,10.280100,0.220058,-0.161454,0.000000,9.514686,0.736709,-0.161454,0.000000
male,1956,extrap_back,10.324364,0.220058,-0.161454,0.000000,9.558950,0.736709,-0.161454,0.000000
male,1957,fit,10.374809,0.262808,-0.172882,0.000000,9.511738,0.816030,-0.172882,0.000000
male,1958,fit,10.363001,0.249827,-0.169213,0.000000,9.530093,0.791309,-0.169213,0.000000
male,1959,fit,10.299415,0.214247,-0.147322,0.000000,9.579475,0.685677,-0.147322,0.000000
male,1960,fit,10.401185,0.202044,-0.166798,0.000000,9.650912,0.735798,-0.166798,0.000000
male,1961,fit,10.323920,0.171362,-0.151053,0.000000,9.663045,0.654732,-0.151053,0.000000
male,1962,fit,10.365544,0.139594,-0.165247,0.000000,9.719161,0.668384,-0.165247,0.000000
male,1963,fit,10.361712,0.130861,-0.150208,0.000000,9.767802,0.611527,-0.150208,0.000000
male,1964,fit,10.387598,0.135854,-0.134899,0.000000,9.824890,0.567531,-0.134899,0.000000
male,1965,fit,10.384950,0.128672,-0.115590,0.000000,9.883164,0.498560,-0.115590,0.000000
male,1966,fit,10.364736,0.137343,-0.102626,0.000000,9.882265,0.465746,-0.102626,0.000000
male,1967,fit,10.326866,0.112084,-0.094289,0.000000,9.906152,0.413809,-0.094289,0.000000
male,1968,fit,10.356057,0.106199,-0.080562,0.000000,9.979900,0.363997,-0.080562,0.000000
male,1969,fit,10.352037,0.149375,-0.064612,0.000000,9.947630,0.356133,-0.064612,0.000000
male,1970,fit,10.267373,0.166162,-0.056838,0.000000,9.856009,0.348044,-0.056838,0.000000
male,1971,fit,10.327466,0.172991,-0.080221,0.000000,9.845315,0.429698,-0.080221,0.000000
male,1972,fit,10.319881,0.195266,-0.078270,0.000000,9.807084,0.445730,-0.078270,0.000000
male,1973,fit,10.258885,0.173159,-0.063592,0.000000,9.819035,0.376653,-0.063592,0.000000
male,1974,fit,10.306915,0.209779,-0.084513,0.000000,9.754915,0.480221,-0.084513,0.000000
male,1975,fit,10.237366,0.210290,-0.047885,0.000000,9.778316,0.363522,-0.047885,0.000000
male,1976,fit,10.256583,0.190820,-0.061133,0.000000,9.794771,0.386446,-0.061133,0.000000
male,1977,fit,10.232679,0.202369,-0.038645,0.000000,9.809957,0.326033,-0.038645,0.000000
male,1978,fit,10.203191,0.186221,-0.041000,0.000000,9.800277,0.317421,-0.041000,0.000000
male,1979,fit,10.186680,0.162607,-0.049068,0.000000,9.800895,0.319625,-0.049068,0.000000
male,1980,fit,10.185757,0.169136,-0.052484,0.000000,9.780780,0.337085,-0.052484,0.000000
male,1981,fit,10.187510,0.192076,-0.059371,0.000000,9.728199,0.382063,-0.059371,0.000000
male,1982,fit,10.214934,0.214253,-0.071146,0.000000,9.689995,0.441920,-0.071146,0.000000
male,1983,fit,10.229573,0.213871,-0.072451,0.000000,9.701905,0.445714,-0.072451,0.000000
male,1984,extrap_fwd,10.247732,0.190389,-0.060904,0.000000,9.787196,0.385281,-0.060904,0.000000
male,1985,extrap_fwd,10.256104,0.190389,-0.060904,0.000000,9.795568,0.385281,-0.060904,0.000000
male,1986,extrap_fwd,10.281346,0.190389,-0.060904,0.000000,9.820810,0.385281,-0.060904,0.000000
male,1987,extrap_fwd,10.301516,0.190389,-0.060904,0.000000,9.840980,0.385281,-0.060904,0.000000
male,1988,extrap_fwd,10.315852,0.190389,-0.060904,0.000000,9.855316,0.385281,-0.060904,0.000000
male,1989,extrap_fwd,10.315871,0.190389,-0.060904,0.000000,9.855335,0.385281,-0.060904,0.000000
male,1990,extrap_fwd,10.306546,0.190389,-0.060904,0.000000,9.846010,0.385281,-0.060904,0.000000
male,1991,extrap_fwd,10.299514,0.190389,-0.060904,0.000000,9.838978,0.385281,-0.060904,0.000000
male,1992,extrap_fwd,10.321353,0.190389,-0.060904,0.000000,9.860817,0.385281,-0.060904,0.000000
male,1993,extrap_fwd,10.316529,0.190389,-0.060904,0.000000,9.855993,0.385281,-0.060904,0.000000
male,1994,extrap_fwd,10.336630,0.190389,-0.060904,0.000000,9.876094,0.385281,-0.060904,0.000000
male,1995,extrap_fwd,10.358115,0.190389,-0.060904,0.000000,9.897579,0.385281,-0.060904,0.000000
male,1996,extrap_fwd,10.373357,0.190389,-0.060904,0.000000,9.912821,0.385281,-0.060904,0.000000
male,1997,extrap_fwd,10.410135,0.190389,-0.060904,0.000000,9.949599,0.385281,-0.060904,0.000000
male,1998,extrap_fwd,10.462803,0.190389,-0.060904,0.000000,10.002267,0.385281,-0.060904,0.000000
male,1999,extrap_fwd,10.499429,0.190389,-0.060904,0.000000,10.038893,0.385281,-0.060904,0.000000
male,2000,extrap_fwd,10.528599,0.190389,-0.060904,0.000000,10.068063,0.385281,-0.060904,0.000000
male,2001,extrap_fwd,10.525545,0.190389,-0.060904,0.000000,10.065009,0.385281,-0.060904,0.000000
male,2002,extrap_fwd,10.519381,0.190389,-0.060904,0.000000,10.058845,0.385281,-0.060904,0.000000
male,2003,extrap_fwd,10.527957,0.190389,-0.060904,0.000000,10.067421,0.385281,-0.060904,0.000000
male,2004,extrap_fwd,10.549953,0.190389,-0.060904,0.000000,10.089417,0.385281,-0.060904,0.000000
male,2005,extrap_fwd,10.562496,0.190389,-0.060904,0.000000,10.101960,0.385281,-0.060904,0.000000
male,2006,extrap_fwd,10.585241,0.190389,-0.060904,0.000000,10.124705,0.385281,-0.060904,0.000000
male,2007,extrap_fwd,10.602289,0.190389,-0.060904,0.000000,10.141753,0.385281,-0.060904,0.000000
male,2008,extrap_fwd,10.592496,0.190389,-0.060904,0.000000,10.131960,0.385281,-0.060904,0.000000
male,2009,extrap_fwd,10.572640,0.190389,-0.060904,0.000000,10.112104,0.385281,-0.060904,0.000000
male,2010,extrap_fwd,10.580522,0.190389,-0.060904,0.000000,10.119986,0.385281,-0.060904,0.000000
male,2011,extrap_fwd,10.586782,0.190389,-0.060904,0.000000,10.126246,0.385281,-0.060904,0.000000
male,2012,extrap_fwd,10.604095,0.190389,-0.060904,0.000000,10.143559,0.385281,-0.060904,0.000000
male,2013,extrap_fwd,10.599904,0.190389,-0.060904,0.000000,10.139368,0.385281,-0.060904,0.000000
male,2014,extrap_fwd,10.622898,0.190389,-0.060904,0.000000,10.162362,0.385281,-0.060904,0.000000
male,2015,extrap_fwd,10.653280,0.190389,-0.060904,0.000000,10.192744,0.385281,-0.060904,0.000000
male,2016,extrap_fwd,10.655501,0.190389,-0.060904,0.000000,10.194965,0.385281,-0.060904,0.000000
male,2017,extrap_fwd,10.672153,0.190389,-0.060904,0.000000,10.211617,0.385281,-0.060904,0.000000
male,2018,extrap_fwd,10.687885,0.190389,-0.060904,0.000000,10.227349,0.385281,-0.060904,0.000000
male,2019,extrap_fwd,10.707149,0.190389,-0.060904,0.000000,10.246613,0.385281,-0.060904,0.000000
male,2020,extrap_fwd,10.725533,0.190389,-0.060904,0.000000,10.264997,0.385281,-0.060904,0.000000
male,2021,extrap_fwd,10.773960,0.190389,-0.060904,0.000000,10.313424,0.385281,-0.060904,0.000000
male,2022,extrap_fwd,10.760692,0.190389,-0.060904,0.000000,10.300156,0.385281,-0.060904,0.000000
male,2023,extrap_fwd,10.762190,0.190389,-0.060904,0.000000,10.301654,0.385281,-0.060904,0.000000
male,2024,extrap_fwd,10.774119,0.190389,-0.060904,0.000000,10.313583,0.385281,-0.060904,0.000000
male,2025,extrap_fwd,10.790189,0.190389,-0.060904,0.000000,10.329653,0.385281,-0.060904,0.000000
male,2026,extrap_fwd,10.806653,0.190389,-0.060904,0.000000,10.346117,0.385281,-0.060904,0.000000
male,2027,extrap_fwd,10.822920,0.190389,-0.060904,0.000000,10.362384,0.385281,-0.060904,0.000000
male,2028,extrap_fwd,10.838498,0.190389,-0.060904,0.000000,10.377962,0.385281,-0.060904,0.000000
male,2029,extrap_fwd,10.854371,0.190389,-0.060904,0.000000,10.393835,0.385281,-0.060904,0.000000
male,2030,extrap_fwd,10.869949,0.190389,-0.060904,0.000000,10.409413,0.385281,-0.060904,0.000000
male,2031,extrap_fwd,10.885232,0.190389,-0.060904,0.000000,10.424696,0.385281,-0.060904,0.000000
male,2032,extrap_fwd,10.898444,0.190389,-0.060904,0.000000,10.437908,0.385281,-0.060904,0.000000
male,2033,extrap_fwd,10.910768,0.190389,-0.060904,0.000000,10.450232,0.385281,-0.060904,0.000000
male,2034,extrap_fwd,10.922993,0.190389,-0.060904,0.000000,10.462457,0.385281,-0.060904,0.000000
male,2035,extrap_fwd,10.935218,0.190389,-0.060904,0.000000,10.474682,0.385281,-0.060904,0.000000
male,2036,extrap_fwd,10.947443,0.190389,-0.060904,0.000000,10.486907,0.385281,-0.060904,0.000000
male,2037,extrap_fwd,10.959668,0.190389,-0.060904,0.000000,10.499132,0.385281,-0.060904,0.000000
male,2038,extrap_fwd,10.971794,0.190389,-0.060904,0.000000,10.511258,0.385281,-0.060904,0.000000
male,2039,extrap_fwd,10.983920,0.190389,-0.060904,0.000000,10.523384,0.385281,-0.060904,0.000000
male,2040,extrap_fwd,10.995849,0.190389,-0.060904,0.000000,10.535313,0.385281,-0.060904,0.000000
male,2041,extrap_fwd,11.007580,0.190389,-0.060904,0.000000,10.547044,0.385281,-0.060904,0.000000
male,2042,extrap_fwd,11.019113,0.190389,-0.060904,0.000000,10.558577,0.385281,-0.060904,0.000000
male,2043,extrap_fwd,11.030547,0.190389,-0.060904,0.000000,10.570011,0.385281,-0.060904,0.000000
male,2044,extrap_fwd,11.041784,0.190389,-0.060904,0.000000,10.581248,0.385281,-0.060904,0.000000
male,2045,extrap_fwd,11.052823,0.190389,-0.060904,0.000000,10.592287,0.385281,-0.060904,0.000000
male,2046,extrap_fwd,11.063763,0.190389,-0.060904,0.000000,10.603227,0.385281,-0.060904,0.000000
male,2047,extrap_fwd,11.074703,0.190389,-0.060904,0.000000,10.614167,0.385281,-0.060904,0.000000
