sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,1940,extrap_back,9.674314,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.051550,0.615181,-0.141221,0.000000
male,1941,extrap_back,9.709832,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.087068,0.615181,-0.141221,0.000000
male,1942,extrap_back,9.715333,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.092569,0.615181,-0.141221,0.000000
male,1943,extrap_back,9.779974,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.157210,0.615181,-0.141221,0.000000
male,1944,extrap_back,9.803492,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.180728,0.615181,-0.141221,0.000000
male,1945,extrap_back,9.738816,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.116052,0.615181,-0.141221,0.000000
male,1946,extrap_back,9.722178,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.099414,0.615181,-0.141221,0.000000
male,1947,extrap_back,9.777070,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.154306,0.615181,-0.141221,0.000000
male,1948,extrap_back,9.821564,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.198800,0.615181,-0.141221,0.000000
male,1949,extrap_back,9.853014,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.230250,0.615181,-0.141221,0.000000
male,1950,extrap_back,9.903486,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.280722,0.615181,-0.141221,0.000000
male,1951,extrap_back,9.956770,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.334006,0.615181,-0.141221,0.000000
male,1952,extrap_back,9.982909,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.360145,0.615181,-0.141221,0.000000
male,1953,extrap_back,10.027507,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.404743,0.615181,-0.141221,0.000000
male,1954,extrap_back,10.033070,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.410306,0.615181,-0.141221,0.000000
male,1955,extrap_back,10.071090,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.448326,0.615181,-0.141221,0.000000
male,1956,extrap_back,10.115354,0.163274,-0.141221,0.000000,-0.685560,-0.253546,9.492590,0.615181,-0.141221,0.000000
male,1957,fit,10.099897,0.184639,-0.126133,0.000000,-0.749418,-0.393779,9.481574,0.588265,-0.126133,0.000000
male,1958,fit,10.130938,0.181205,-0.134858,0.000000,-0.835602,-0.383454,9.495774,0.612751,-0.134858,0.000000
male,1959,fit,10.152146,0.158425,-0.149293,0.000000,-0.513594,-0.267745,9.516476,0.636163,-0.149293,0.000000
male,1960,fit,10.165785,0.150785,-0.144138,0.000000,-0.601116,-0.141321,9.555536,0.612027,-0.144138,0.000000
male,1961,fit,10.168514,0.141314,-0.151684,0.000000,-0.728068,-0.081432,9.554101,0.626703,-0.151684,0.000000
male,1962,fit,10.171375,0.117108,-0.141695,0.000000,-1.069026,-0.056403,9.621263,0.570532,-0.141695,0.000000
male,1963,fit,10.195305,0.117864,-0.143289,0.000000,-1.194162,-0.023758,9.639903,0.576389,-0.143289,0.000000
male,1964,fit,10.192137,0.095968,-0.130061,0.000000,-1.323922,0.078939,9.705632,0.512163,-0.130061,0.000000
male,1965,fit,10.174798,0.081224,-0.124427,0.000000,-1.527375,0.020429,9.726306,0.479390,-0.124427,0.000000
male,1966,fit,10.184515,0.075397,-0.109641,0.000000,-1.690786,0.021908,9.783199,0.426248,-0.109641,0.000000
male,1967,fit,10.180368,0.077970,-0.101916,0.000000,-1.809760,-0.014856,9.794711,0.404101,-0.101916,0.000000
male,1968,fit,10.160451,0.071295,-0.088106,0.000000,-1.772176,-0.027063,9.820828,0.353234,-0.088106,0.000000
male,1969,fit,10.138604,0.070024,-0.081036,0.000000,-1.632372,-0.058937,9.819113,0.329339,-0.081036,0.000000
male,1970,fit,10.121379,0.086518,-0.084439,0.000000,-1.564864,-0.021910,9.766786,0.356723,-0.084439,0.000000
male,1971,fit,10.118793,0.088581,-0.080808,0.000000,-1.759954,-0.019355,9.770195,0.347167,-0.080808,0.000000
male,1972,fit,10.130126,0.087785,-0.074829,0.000000,-1.711755,0.036634,9.798108,0.327238,-0.074829,0.000000
male,1973,fit,10.084460,0.086161,-0.068023,0.000000,-1.564761,-0.083256,9.772464,0.303835,-0.068023,0.000000
male,1974,fit,10.078952,0.099840,-0.077823,0.000000,-1.334910,-0.083256,9.719981,0.348874,-0.077823,0.000000
male,1975,fit,10.063774,0.113782,-0.076338,0.000000,-1.068644,-0.083256,9.686298,0.358064,-0.076338,0.000000
male,1976,fit,10.055929,0.109554,-0.060761,0.000000,-1.020888,-0.083256,9.725094,0.303989,-0.060761,0.000000
male,1977,fit,10.040251,0.108477,-0.053431,0.000000,-0.696397,-0.083256,9.729904,0.279456,-0.053431,0.000000
male,1978,fit,10.025515,0.105490,-0.047975,0.000000,-0.652038,-0.083256,9.733915,0.259010,-0.047975,0.000000
male,1979,fit,10.025285,0.107371,-0.056487,0.000000,-0.708752,-0.083256,9.708885,0.288129,-0.056487,0.000000
male,1980,fit,10.032511,0.117302,-0.060208,0.000000,-0.694858,-0.083256,9.690695,0.309968,-0.060208,0.000000
male,1981,fit,10.037495,0.126787,-0.070308,0.000000,-0.572543,-0.083256,9.654647,0.351773,-0.070308,0.000000
male,1982,fit,10.047785,0.136753,-0.077651,0.000000,-0.423618,-0.083256,9.630194,0.385236,-0.077651,0.000000
male,1983,fit,10.048429,0.135220,-0.078945,0.000000,-0.365760,-0.083256,9.629978,0.387844,-0.078945,0.000000
male,1984,extrap_fwd,10.085142,0.124687,-0.068720,0.000000,-0.553106,-0.083256,9.709721,0.344590,-0.068720,0.000000
